time,place_id,status,message
2025-10-07 11:23:25,60a74c17b4e1e72f189ab699,success,Deleted successfully
2025-10-07 11:25:20,60a74c17b4e1e72f189ab699,success,Deleted successfully
2025-10-07 11:26:15,60a74c17b4e1e72f189ab699,success,Deleted successfully
2025-10-07 11:33:22,-,error,Invalid menu choice
2025-10-07 11:44:50,-,error,File missing 'id' column
2025-10-07 11:45:10,-,error,Invalid menu choice
2025-10-07 11:45:29,-,info,Read 132 IDs from poi_test_25-10-2025.xlsx
2025-10-07 11:45:29,6062cc5678f6610549b7d7cb,info,Deleting...
2025-10-07 11:45:56,6062cc5678f6610549b7d7cb,success,Deleted successfully
2025-10-07 11:45:56,6063504c78f6610549e3b952,info,Deleting...
2025-10-07 11:46:24,6063504c78f6610549e3b952,success,Deleted successfully
2025-10-07 11:46:24,6063efde78f66105491b8082,info,Deleting...
2025-10-07 11:46:26,6063efde78f66105491b8082,success,Deleted successfully
2025-10-07 11:46:26,60641bb778f66105492a7287,info,Deleting...
2025-10-07 11:46:53,60641bb778f66105492a7287,success,Deleted successfully
2025-10-07 11:46:53,6064215a78f66105492c560d,info,Deleting...
2025-10-07 11:47:03,6064215a78f66105492c560d,success,Deleted successfully
2025-10-07 11:47:03,6064266f78f66105492e0d0e,info,Deleting...
2025-10-07 11:47:09,6064266f78f66105492e0d0e,success,Deleted successfully
2025-10-07 11:47:09,6064266f78f66105492e0d5b,info,Deleting...
2025-10-07 11:47:11,6064266f78f66105492e0d5b,success,Deleted successfully
2025-10-07 11:47:11,606428b578f66105492eb238,info,Deleting...
2025-10-07 11:47:18,606428b578f66105492eb238,success,Deleted successfully
2025-10-07 11:47:18,60642dc578f661054930765f,info,Deleting...
2025-10-07 11:47:30,60642dc578f661054930765f,success,Deleted successfully
2025-10-07 11:47:30,6064395978f661054934751d,info,Deleting...
2025-10-07 11:47:43,6064395978f661054934751d,success,Deleted successfully
2025-10-07 11:47:43,606458a178f66105493f5092,info,Deleting...
2025-10-07 11:47:50,606458a178f66105493f5092,success,Deleted successfully
2025-10-07 11:47:50,606483a078f66105494d7717,info,Deleting...
2025-10-07 11:47:52,606483a078f66105494d7717,success,Deleted successfully
2025-10-07 11:47:52,606485b078f66105494e2b02,info,Deleting...
2025-10-07 11:47:56,606485b078f66105494e2b02,success,Deleted successfully
2025-10-07 11:47:56,6064884d78f66105494edc06,info,Deleting...
2025-10-07 11:47:58,6064884d78f66105494edc06,success,Deleted successfully
2025-10-07 11:47:58,606489cb78f66105494f5f2d,info,Deleting...
2025-10-07 11:48:07,606489cb78f66105494f5f2d,success,Deleted successfully
2025-10-07 11:48:07,60769cc813454c447c4a14b9,info,Deleting...
2025-10-07 11:48:34,60769cc813454c447c4a14b9,success,Deleted successfully
2025-10-07 11:48:34,6093b35659a2b25f54e2644b,info,Deleting...
2025-10-07 11:48:42,6093b35659a2b25f54e2644b,success,Deleted successfully
2025-10-07 11:48:42,6093bf5359a2b25f54e2ddba,info,Deleting...
2025-10-07 11:48:44,6093bf5359a2b25f54e2ddba,success,Deleted successfully
2025-10-07 11:48:44,6099d679491c036d23524843,info,Deleting...
2025-10-07 11:48:49,6099d679491c036d23524843,success,Deleted successfully
2025-10-07 11:48:49,609a519d34025a4d53df3136,info,Deleting...
2025-10-07 11:48:59,609a519d34025a4d53df3136,success,Deleted successfully
2025-10-07 11:48:59,609ad74f34025a4d53e909ad,info,Deleting...
2025-10-07 11:49:13,609ad74f34025a4d53e909ad,success,Deleted successfully
2025-10-07 11:49:13,609bfea834025a4d53eb1116,info,Deleting...
2025-10-07 11:49:14,609bfea834025a4d53eb1116,success,Deleted successfully
2025-10-07 11:49:14,609bfec934025a4d53eb15fd,info,Deleting...
2025-10-07 11:49:15,609bfec934025a4d53eb15fd,success,Deleted successfully
2025-10-07 11:49:15,609c007134025a4d53eb5e22,info,Deleting...
2025-10-07 11:49:24,609c007134025a4d53eb5e22,success,Deleted successfully
2025-10-07 11:49:24,609c0f3d34025a4d53ecb0ac,info,Deleting...
2025-10-07 11:49:36,609c0f3d34025a4d53ecb0ac,success,Deleted successfully
2025-10-07 11:49:36,609c116f34025a4d53ecde30,info,Deleting...
2025-10-07 11:49:37,609c116f34025a4d53ecde30,success,Deleted successfully
2025-10-07 11:49:37,609c24ab34025a4d53ee8c0e,info,Deleting...
2025-10-07 11:49:39,609c24ab34025a4d53ee8c0e,success,Deleted successfully
2025-10-07 11:49:39,609c277e34025a4d53eebe21,info,Deleting...
2025-10-07 11:49:43,609c277e34025a4d53eebe21,success,Deleted successfully
2025-10-07 11:49:43,60a393ab0309c615cc1cfd52,info,Deleting...
2025-10-07 11:49:45,60a393ab0309c615cc1cfd52,success,Deleted successfully
2025-10-07 11:49:45,60a3943c0309c615cc1dd1fd,info,Deleting...
2025-10-07 11:49:49,60a3943c0309c615cc1dd1fd,success,Deleted successfully
2025-10-07 11:49:49,60a3943c0309c615cc1dd1fe,info,Deleting...
2025-10-07 11:49:52,60a3943c0309c615cc1dd1fe,success,Deleted successfully
2025-10-07 11:49:52,60a3943c0309c615cc1dd248,info,Deleting...
2025-10-07 11:49:53,60a3943c0309c615cc1dd248,success,Deleted successfully
2025-10-07 11:49:53,60a3943c0309c615cc1dd250,info,Deleting...
2025-10-07 11:49:55,60a3943c0309c615cc1dd250,success,Deleted successfully
2025-10-07 11:49:55,60a3946f0309c615cc1e1017,info,Deleting...
