Name,Address,Latitude,Longitude,_id,amount,amountLevels.0.amount,amountLevels.0.name,amountLevels.1.amount,amountLevels.1.name,amountLevels.2.amount,amountLevels.2.name,amountLevels.3.amount,amountLevels.3.name,billingId,createdBy.displayName,createdBy.userId,createdDate,isDeleted,month,priceLevels.0.amount,priceLevels.0.currency,priceLevels.0.description,priceLevels.0.from,priceLevels.0.name,priceLevels.0.to,priceLevels.1.amount,priceLevels.1.currency,priceLevels.1.description,priceLevels.1.from,priceLevels.1.name,priceLevels.1.to,priceLevels.2.amount,priceLevels.2.currency,priceLevels.2.description,priceLevels.2.from,priceLevels.2.name,priceLevels.2.to,priceLevels.3.amount,priceLevels.3.currency,priceLevels.3.description,priceLevels.3.from,priceLevels.3.name,priceLevels.3.to,requestDate,serviceId,serviceName,totalElementSuccess,totalRequestError,totalRequestSuccess,updatedBy.displayName,updatedBy.userId,updatedDate,userId,year
Công Ty Ongift Thành Phố Hồ Chí Minh,"
392A Đ. Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh 700000, Vietnam",10.7798719,106.5994972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công ty TNHH Khu du lịch Vịnh Thiên Đường,"
Toà nhà Paragon, 3 Nguyễn Lương Bằng, Tân Phú, Quận 7, Hồ Chí Minh 700000, Vietnam",10.7293811,106.6504371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cong ty,"
14 Đ. số 5, Khu đô thị Him Lam, Quận 7, Hồ Chí Minh, Vietnam",10.7293811,106.6504371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bestmix Corporation - Branch 1 Ho Chi Minh City,"
378 Đ. Cộng Hòa, Phường 13, Tân Bình, Hồ Chí Minh, Vietnam",10.8023692,106.5722815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO-HCM,"
Hẻm 54 Nguyễn Thái Bình, Phường 4, Tân Bình, Hồ Chí Minh, Vietnam",10.8023692,106.5722815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Văn Phòng Đại Diện Tại Thành Phố Hồ Chí Minh - Công Ty Tnhh Tư Vấn Hàn Quốc,"
286, Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Thành Phố Hồ Chí Minh, Tân Thuận Tây, Quận 7, Hồ Chí Minh, Vietnam",10.7511679,106.6564238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cty,"
2 Đ. số 27, Phường 4, Quận 8, Hồ Chí Minh, Vietnam",10.7434681,106.6012007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công Ty TNHH Cuckoo Vina - HCM,"
The Grace, 71 Hoàng Văn Thái, Tân Phú, Quận 7, Hồ Chí Minh 70000, Vietnam",10.7308462,106.6515376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi nhánh Hồ Chí Minh - Công ty cổ phần thương mại và công nghệ Hà Việt,"
61/7 Bình Giã, Phường 13, Tân Bình, Hồ Chí Minh, Vietnam",10.801187,106.5722722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công ty TNHH Hóa Đơn Điện Tử M-Invoice CN TP. HCM,"
Tòa nhà M.I.D, 02 Đường Nguyễn Thế Lộc, Phường 12, Tân Bình, Hồ Chí Minh 00084, Vietnam",10.801187,106.5722722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi Nhánh Tại Thành Phố Hồ Chí Minh Công Ty Cổ Phần Nhiên Liệu Bay Petrolimex,"
A75/70 Đ. Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh, Vietnam",10.801187,106.5722722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công Ty Cp Sài Gòn Hỏa Xa (Rtc),"
275 Đ. Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh 700000, Vietnam",10.7679324,106.6196285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công Ty Cổ Phần Ademax - Chi nhánh Hồ Chí Minh,"
51 Trương Quốc Dung, Phường 10, Phú Nhuận, Hồ Chí Minh, Vietnam",10.7679324,106.6196285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamazen Hochiminh Office,"
12 Tân Trào, Tân Phú, Quận 7, Hồ Chí Minh, Vietnam",10.7679324,106.6196285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công ty TNHH MTV Môi trường Đô thị TP.HCM,"
42 Đ. Võ Thị Sáu, Phường Tân Định, Quận 1, Hồ Chí Minh, Vietnam",10.7679324,106.6196285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công ty TNHH Dược Sĩ Tiến - Chi nhánh Hồ Chí Minh,"
32A Đ. Cao Bá Nhạ, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh, Vietnam",10.7679324,106.6196285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công Ty Trách Nhiệm Hữu Hạn Thương Mại Sài Gòn Mộc,"
34/2/7 Huỳnh Tấn Phát, khu phố 3, Quận 7, Hồ Chí Minh, Vietnam",10.7237201,106.6613732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
công ty TNHH Di Dân và Du Học SA CHI Chi Nhánh Hồ Chí Minh,"
246 Nguyễn Tiểu La, Phường 8, Quận 10, Hồ Chí Minh, Vietnam",10.7651661,106.5942056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi Nhánh Công Ty Tnhh Minh Quang Tại Thành Phố Hồ Chí Minh,"
Số 46 Đ. D1, Khu đô thị Him Lam, Quận 7, Hồ Chí Minh, Vietnam",10.7651661,106.5942056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN CTY MINH KHAI HP,"
Khu Do thi moi, 17 Đường số 4, Khu đô thị Him Lam, Quận 7, Hồ Chí Minh 756922, Vietnam",10.7651661,106.5942056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công ty Công nghệ Thông tin Điện lực TPHCM,"
114A Đ. Hồng Hà, Phường 2, Tân Bình, Hồ Chí Minh, Vietnam",10.7651661,106.5942056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi nhánh Công ty MIDC HCM,"
23346 Man Thiện, Phường Tân Phú, Thủ Đức, Hồ Chí Minh, Vietnam",10.8477036,106.7269005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS LAW FIRM,"
520 Đ. Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh 70000, Vietnam",10.785529,106.5955432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS LAW FIRM,"
520 Đ. Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh 70000, Vietnam",10.785529,106.5955432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi nhánh HCM- CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ PHÂN PHỐI DNG,"
Tòa nhà Thịnh Phát, 88 Đ. Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh, Vietnam",10.785529,106.5955432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIDES GLOBAL CO.,LTD","
05 O Stret, My Giang 2, Phu My Hung, Quận 7, Hồ Chí Minh 72915, Vietnam",10.7227563,106.6435177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN DI CHUYỂN XANH VÀ THÔNG MINH GSM,"
119 Đ. Ung Văn Khiêm, Phường 25, Bình Thạnh, Hồ Chí Minh, Vietnam",10.807064,106.6459802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
