Name,Address,OpeningHours,URL
,,,https://shopeefood.vn/ho-chi-minh/tram-an-vat-meo-u
,,,https://shopeefood.vn/ho-chi-minh/2li-food-com-ga-com-trung-mi-tron-nguyen-thi-thap
,,,https://shopeefood.vn/ho-chi-minh/oc-ngon-m-k-ca-bien-mien-trung
CUA HẤP SÀI GÒN - Man Thiện,"Trước Chung Cư C5 Đường Man Thiện, P. Tăng Nhơn Phú A, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/cua-hap-sai-gon-man-thien
Bánh Tráng Trộn Gạo Nâu - Bình Trưng,"Số 53 Bình Trưng, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/banh-trang-tron-gao-nau-binh-trung
Tiệm Trà Sữa Vanie - Bùi Văn Ba,"39/25 Bùi Văn Ba, P. Tân Thuận Đông, Quận 7, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tiem-tra-sua-vanie-bui-van-ba
2425 Kitchen - Gò Vấp,"1/15/15 Nguyễn Thái Sơn, P. 3, Gò Vấp, TP. HCM",,https://shopeefood.vn/ho-chi-minh/2425-kitchen-go-vap
Làng Hủ Tiếu - Chính Gốc Sa Đéc,"15 Bùi Đình Tuý, P. 26, Bình Thạnh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/lang-hu-tieu-chinh-goc-sa-dec
"Tiệm Nhà Vy Vy - Trà Sữa, Sinh Tố & Nước Ép","427 Phan Văn Trị, P. 7, Quận 5, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tiem-nha-vy-vy-tra-sua-sinh-to-nuoc-ep
Bếp Nhà Mười Lèo - Đường 48 Nhánh 3,"97/24 Đường 48 Nhánh 3, P. Hiệp Bình Chánh, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/bep-nha-muoi-leo-duong-48-nhanh-3
MAPLE - CƠM MÌ HÀN QUỐC,"178/13 Nguyễn Văn Thương, P. 25, Bình Thạnh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/maple-com-mi-han-quoc
Phở Gà Phố Cổ - Trần Xuân Soạn,"793/68 Trần Xuân Soạn, P. Tân Hưng, Quận 7, TP. HCM",,https://shopeefood.vn/ho-chi-minh/pho-ga-pho-co-tran-xuan-soan
MIX HÀN QUỐC - Thạch Lam,"34 Thạch Lam, P. Phú Thạnh, Tân Phú, TP. HCM",,https://shopeefood.vn/ho-chi-minh/mix-han-quoc-thach-lam
Tiệm Xôi Mây Sài Gòn - Đoàn Thị Điểm,"20 Đoàn Thị Điểm P. 1, Phú Nhuận, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tiem-xoi-may-sai-gon-doan-thi-diem
Lúc Anh Lúc Chị - Súp Cua & Ăn Vặt,"78 Phạm Đình Hổ, P. 2, Quận 6, TP. HCM",,https://shopeefood.vn/ho-chi-minh/luc-anh-luc-chi-sup-cua-an-vat
Matcha Nà - Lạc Long Quân,"106i/94L Lạc Long Quân, P. 3, Quận 11, TP. HCM",,https://shopeefood.vn/ho-chi-minh/matcha-na-lac-long-quan
Mì & Nui Xào Bò - Hân Hân,"168/19 Nguyễn Súy, P. Phú Thọ Hòa, Tân Phú, TP. HCM",,https://shopeefood.vn/ho-chi-minh/mi-nui-xao-bo-han-han
Phở Hà - Đỗ Xuân Hợp,"268 Đỗ Xuân Hợp, P. Phước Long B, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/pho-ha-do-xuan-hop
Tứ Quý - Xuân Thới Sơn,"74/3 Xuân Thới Sơn 27, X. Xuân Thới Sơn, Hóc Môn, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tu-quy-xuan-thoi-son
ỐC BEN - ỐC HƯƠNG & ỐC MÓNG TAY XÀO MÌ - ĐƯỜNG SỐ 8,"25C Đường Số 8, P. Linh Xuân, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/oc-ben-oc-huong-oc-mong-tay-xao-mi-duong-so-8
Yumm Pasta - Kinh Dương Vương,"Chung Cư Imperial Place, Số 633 Kinh Dương Vương, P. An Lạc, Bình Tân, TP. HCM",,https://shopeefood.vn/ho-chi-minh/yumm-pasta-kinh-duong-vuong
Trà Sữa Sime Yam - Quang Trung,"662 Quang Trung, P. 11, Gò Vấp, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tra-sua-sime-yam-quang-trung
Hồng Trà Sữa Chu Gia - Đặng Văn Bi,"125 Đặng Văn Bi, P. Trường Thọ, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/hong-tra-sua-chu-gia-dang-van-bi
Cơm Tấm Sườn Lụi - Phạm Thế Hiển,"643 Phạm Thế Hiển, P. 4, Quận 8, TP. HCM",,https://shopeefood.vn/ho-chi-minh/com-tam-suon-lui-pham-the-hien
Bún Mắm - Bún Thái Lê Phương,"783 Cách Mạng Tháng Tám, P. 6, Tân Bình, TP. HCM",,https://shopeefood.vn/ho-chi-minh/bun-mam-bun-thai-le-phuong
Cơm Việt - Cơm Văn Phòng,"175/7 Phạm Ngũ Lão, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,https://shopeefood.vn/ho-chi-minh/com-viet-com-van-phong
Gỏi Cuốn Bảo Châu,"2/1 Đường 17, Khu Phố 10, P. Hiệp Bình Phước, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/goi-cuon-bao-chau
Gà Nướng Tân Phát - Gà Nướng & Gà Quay,"370 Quốc Lộ 50, X. Bình Hưng, Bình Chánh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/ga-nuong-tan-phat-ga-nuong-ga-quay
"Bánh Mì, Bún Thịt Nướng & Trà Bí Đao - Duy Khánh","Số 2B Bành Văn Trân, P. 6, Tân Bình, TP. HCM",,https://shopeefood.vn/ho-chi-minh/banh-mi-bun-thit-nuong-tra-bi-dao-duy-khanh
Sinh Tố Tiger - Hoàng Xuân Nhị,"14 Hoàng Xuân Nhị, P. Phú Trung, Tân Phú, TP. HCM",,https://shopeefood.vn/ho-chi-minh/sinh-to-tiger-hoang-xuan-nhi
Thai Thae ไทยแท้ - Gỏi & Mì Tomyum Thái - Lê Quang Định,"476 Lê Quang Định, P. 11, Bình Thạnh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/thai-thae-goi-mi-tomyum-thai-le-quang-dinh
Brutee - Đúng Gu Đậm Vị,"380/29 Lê Văn Lương, P. Tân Hưng, Quận 7, TP. HCM",,https://shopeefood.vn/ho-chi-minh/brutee-dung-gu-dam-vi
,,,https://shopeefood.vn/ho-chi-minh/bep-nha-chin-com-ga-pho-cuon-duong-so-5
,,,https://shopeefood.vn/ho-chi-minh/beep-coffee-and-tea-299-hong-lac
"""HELLO'' Trà Trái Cây Tươi - Trà Sữa","145A Hà Huy Giáp, P. Thạnh Lộc, Quận 12, TP. HCM",,https://shopeefood.vn/ho-chi-minh/hello-tra-trai-cay-tuoi-tra-sua
79 - Cơm Vịt Nướng Nha Trang,"506/2 Đường 3 Tháng 2, P. 14, Quận 10, TP. HCM",,https://shopeefood.vn/ho-chi-minh/79-com-vit-nuong-nha-trang
"Ngân Thảo - HỦ TIẾU MÌ XÁ XÍU, NUI & Mì Trộn","568 Vĩnh Viễn, P. 7, Quận 10, TP. HCM",,https://shopeefood.vn/ho-chi-minh/ngan-thao-hu-tieu-mi-xa-xiu-nui-mi-tron
Quindy - Trà Sữa Topping Nhà Làm,"30 Đường Số 4, P. 7, Gò Vấp, TP. HCM",,https://shopeefood.vn/ho-chi-minh/quindy-tra-sua-topping-nha-lam
"Ăn Vặt, Cá Viên Chiên & Trứng Vịt Lộn BOBO","261/13A/2 Lê Văn Sỹ, P. 1, Tân Bình, TP. HCM",,https://shopeefood.vn/ho-chi-minh/an-vat-ca-vien-chien-trung-vit-lon-bobo
Trà Sữa San Hỷ,"1385 Phan Văn Trị, P. 10, Gò Vấp, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tra-sua-san-hy
Wala Cà Phê - Phú Mỹ,"30A Phú Mỹ, P. 22, Bình Thạnh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/wala-ca-phe-phu-my
Lì Food - Bánh Tráng Trộn Mỡ Hành - Đường 1B,"A2/7 Đường 1B, Ấp 1, X. Vĩnh Lộc B, Bình Chánh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/li-food-banh-trang-tron-mo-hanh-duong-1b
Mọt - Tea,"50 Hữu Nghị, P. Bình Thọ, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/mot-tea
Ốc Nhây - Đường 268,"32 Đường 268, P. Phước Long A, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/oc-nhay-duong-268
Trà Kem Dẻo Banzil - Tây Thạnh,"367 Tây Thạnh, P. Tây Thạnh, Tân Phú, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tra-kem-deo-banzil-tay-thanh
Trạm Coffee - Matcha Latte & Cà Phê Muối - Đường 13,"100 Đường 13, P. Tân Kiểng, Quận 7, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tram-coffee-matcha-latte-ca-phe-muoi-duong-13
Mì Quảng & Bún Gà ĐQQ - Tân Sơn Nhì,"18 Tân Sơn Nhì, P. Tân Sơn Nhì, Tân Phú, TP. HCM",,https://shopeefood.vn/ho-chi-minh/mi-quang-bun-ga-dqq-tan-son-nhi
,,,https://shopeefood.vn/ho-chi-minh/sinh-to-nuoc-ep-04-58a-hoa-su
Tiệm Trà Sữa Đậu Đô,"100 Diên Hồng, P. 1, Bình Thạnh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tiem-tra-sua-dau-do
Mì Cay Itada - Cách Mạng Tháng 8,"1026 Cách Mạng Tháng Tám, P. 5, Tân Bình, TP. HCM",,https://shopeefood.vn/ho-chi-minh/mi-cay-itada-cach-mang-thang-8
,,,https://shopeefood.vn/ho-chi-minh/diem-seafood-pham-phu-thu
Bún Bò Huế Ga Tàu,"183 - 185 Nguyễn Phúc Nguyên, P. 10, Quận 3, TP. HCM",,https://shopeefood.vn/ho-chi-minh/bun-bo-hue-ga-tau
