Name,Address,OpeningHours,URL
Tiệm Gà Ủ Muối KuBo - Nam Dư,"Số 3B Ngõ 180 Nam Dư, P. Lĩnh Nam, Hoàng Mai, Hà Nội",,https://shopeefood.vn/ha-noi/tiem-ga-u-muoi-kubo-nam-du
Phát Food - Ăn Vặt - Kim Ngưu,"469 Kim Ngưu, P. Vĩnh Tuy, Hai Bà Trưng, Hà Nội",,https://shopeefood.vn/ha-noi/phat-food-an-vat-kim-nguu
Cafe Flower With S Florist - 128 Mai Hắc Đế,"128 Mai Hắc Đế, P. Lê Đại Hành, Hai Bà Trưng, Hà Nội",,https://shopeefood.vn/ha-noi/cafe-flower-with-s-florist-128-mai-hac-de
Đào Hoa Quán - Cầu Am,"36A Cầu Am, P. Vạn Phúc, Hà Đông, Hà Nội",,https://shopeefood.vn/ha-noi/dao-hoa-quan-cau-am
"Cơm, Phở & Bánh Mì - Đồ Nướng Hân Hạnh","196 Tả Thanh Oai, X. Tả Thanh Oai, Thanh Trì, Hà Nội",00:00 - 23:59,https://shopeefood.vn/ha-noi/com-pho-banh-mi-do-nuong-han-hanh
"Hue’s House - Cafe, Trà Sữa & Ăn Vặt","Số 7 Ngách 39 Ngõ 250 Kim Giang, P. Đại Kim, Hoàng Mai, Hà Nội",,https://shopeefood.vn/ha-noi/hue-s-house-cafe-tra-sua-an-vat
Chú Hiếu Trendy - Food & Drink,"79 Ngách 24/2 Ngọc Trục, P. Đại Mỗ, Nam Từ Liêm, Hà Nội",,https://shopeefood.vn/ha-noi/chu-hieu-trendy-food-drink
183 Tea And Cafe - Bạch Mai,"183 Bạch Mai, P.Cầu Dền, Hai Bà Trưng, Hà Nội",,https://shopeefood.vn/ha-noi/183-tea-and-cafe-bach-mai
"Xôi, Bánh Mì & Phở Gà - Triều Khúc","Số Nhà 31/136/6 Triều Khúc, X.Tân Triều, Thanh Trì, Hà Nội",,https://shopeefood.vn/ha-noi/xoi-banh-mi-pho-ga-trieu-khuc
Obean - Tào Phớ Đài Loan & Tàu Hũ Tươi - Phan Đình Giót,"Số 1 Ngõ 64/3 Phan Đình Giót, P. Phương Liệt, Thanh Xuân, Hà Nội",,https://shopeefood.vn/ha-noi/obean-tao-pho-dai-loan-tau-hu-tuoi-phan-dinh-giot
Bún Bò Huế Nhân Khôi - Trần Đại Nghĩa,"85 Trần Đại Nghĩa, P. Đồng Tâm, Hai Bà Trưng, Hà Nội",,https://shopeefood.vn/ha-noi/bun-bo-hue-nhan-khoi-tran-dai-nghia
Bếp Nhà Nàng Cơ Sở 2 - Chân Cánh Gà Nướng,"Đầu Ngõ 169 Quang Tiến, P. Đại Mỗ, Nam Từ Liêm, Hà Nội",,https://shopeefood.vn/ha-noi/bep-nha-nang-co-so-2-chan-canh-ga-nuong
Đồ Ăn Vặt Mẹ Tôm - 104C10 Thành Công,"104C10 Thành Công, P. Thành Công, Ba Đình, Hà Nội",,https://shopeefood.vn/ha-noi/do-an-vat-me-tom-104c10-thanh-cong
Pika Lê - 104 Trần Phú,"104 Trần Phú, P. Mộ Lao, Hà Đông, Hà Nội",,https://shopeefood.vn/ha-noi/pika-le-104-tran-phu
"Ciemt Juice - Nước Ép, Trà Hoa Quả & Sinh Tố","12B Phạm Huy Thông, P. Ngọc Khánh, Ba Đình, Hà Nội",,https://shopeefood.vn/ha-noi/ciemt-juice-nuoc-ep-tra-hoa-qua-sinh-to
Tiệm Mẹ Xoài - Mỳ Trộn Indomie - Tây Tựu,"Số 4 Ngách 87/5 Ngõ 87 Tây Tựu, P. Tây Tựu, Bắc Từ Liêm, Hà Nội",,https://shopeefood.vn/ha-noi/tiem-me-xoai-my-tron-indomie-tay-tuu
