keyword,name,address,phone,website,opening_hours_today,opening_hours_full,lat,lng,url
Highlands,Highlands Coffee UOA Tower D7,"06 Tân Trào, Tân Phú, Quận 7, Thành phố Hồ Chí Minh 70000, Việt Nam",+842871080006,https://www.highlandscoffee.com.vn/,,"{""Thứ Tư"": ""07:00–22:00"", ""Thứ Năm"": ""07:00–22:00"", ""Thứ Sáu"": ""07:00–22:00"", ""Thứ Bảy"": ""07:00–22:00"", ""Chủ Nhật"": ""07:00–22:00"", ""Thứ Hai"": ""07:00–22:00"", ""Thứ Ba"": ""07:00–22:00""}",10.7302028,106.725059,"https://www.google.com/maps/place/Highlands+Coffee+UOA+Tower+D7/@10.7302028,106.725059,17z/data=!3m1!4b1!4m6!3m5!1s0x3175259189b6bf69:0x95515343b05aed4d!8m2!3d10.7302028!4d106.725059!16s%2Fg%2F11jzmp3png?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D"
Starbucks,Starbucks Crescent Strip,"Crescent Strip, 103 Đ. Tôn Dật Tiên, Tân Phú, Quận 7, Thành phố Hồ Chí Minh 700000, Việt Nam",+842866806191,http://www.starbucks.vn/,,"{""Thứ Tư"": ""07:00–22:00"", ""Thứ Năm"": ""07:00–22:00"", ""Thứ Sáu"": ""07:00–22:00"", ""Thứ Bảy"": ""07:00–22:00"", ""Chủ Nhật"": ""07:00–22:00"", ""Thứ Hai"": ""07:00–22:00"", ""Thứ Ba"": ""07:00–22:00""}",10.7279753,106.7185811,"https://www.google.com/maps/place/Starbucks+Crescent+Strip/@10.7279753,106.7185811,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f8be15b2c33:0xd07ed438dcf58596!8m2!3d10.7279753!4d106.7185811!16s%2Fg%2F11gk0dfzhd?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D"
Phuc Long,Phúc Long Tea & Coffee - Crescent Mall,"101 Đ. Tôn Dật Tiên, Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",+842854178778,http://www.phuclong.com.vn/,,"{""Thứ Tư"": ""07:00–22:30"", ""Thứ Năm"": ""07:00–22:30"", ""Thứ Sáu"": ""07:00–22:30"", ""Thứ Bảy"": ""07:00–22:30"", ""Chủ Nhật"": ""07:00–22:30"", ""Thứ Hai"": ""07:00–22:30"", ""Thứ Ba"": ""07:00–22:30""}",10.7290836,106.7188731,"https://www.google.com/maps/place/Ph%C3%BAc+Long+Tea+%26+Coffee+-+Crescent+Mall/@10.7290836,106.7188731,17z/data=!3m1!4b1!4m6!3m5!1s0x31752ff2c8ae1849:0x8c0e68de2b2583b9!8m2!3d10.7290836!4d106.7188731!16s%2Fg%2F1pztq3_cp?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D"
