matched_keyword,center_lat,center_lng,radius,place_id,name,address,lat,lng,rating,user_ratings_total,types
công an,17.473470,106.434295,40000,ChIJu2AacgClODERPQiSFygf_rs,Công an xã Bố Trạch,"J9F6+QX5, Khương Hà",17.624393,106.3624885,5,2,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJq6qqqpq8ODERxPK7WXZyO_o,Công An Xã Phúc Trạch,"M836+5C3, Phúc Trạch",17.6528937,106.3110622,5,1,"local_government_office,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJrTHa2euZODERWGFL4cJeC7g,Công An Xã Quảng Xuân,"RC2J+8MF, Quảng Xuân",17.8008248,106.4318023,5,1,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJKahM68tXRzERO95prWBwcro,Trại Tạm Giam Công An Tỉnh Quảng Bình,"GH63+8G2, Lý Trạch",17.5107573,106.5537746,5,2,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJFabdRwCtQDERMnj2jHCcMIw,Công an xã Trường Ninh,"8MJ3+V99, Hiền Ninh",17.3319786,106.6533707,5,1,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJ-eRYoC9RRzER3tij1zHQdxg,Khu nghĩ dưỡng Cục C10 - Bộ Công An,"FJ8Q+VPC, Đường Ven Biển, Bảo Ninh",17.4671859,106.6392714,3.9,97,"lodging,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJ8_noew1YRzER0JQWIM_bUaU,Công An Xã Đại Trạch,"Phúc Tự Đông, Đại Trạch, Bố Trạch",17.5497396,106.5457976,5,1,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJXVF9mP6hODERzrxYJOI2qQI,Công an xã Thanh Trạch,"MFXM+32, Quyết Thắng",17.697733,106.4825653,,,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJsw_s5WdRRzERIfrKc3guQhg,Khu nghỉ dưỡng Bộ Công An,"FJ8R+C7, Bảo Ninh",17.4658027,106.6415467,3,23,"lodging,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJN9M1MQDrODERfPQ1rstuUJw,Công an xã Tuyên Phú,"R3MR+HMM, Nam Hoá",17.8339603,106.0916588,,,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJ06dvBCyYODERWAM-13-OXPg,Công An Xã Quảng Trường,"Q9C3+456, Tiên Lương",17.7702736,106.3529037,,,"local_government_office,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJW55lru5WRzERGAUDQ8RqPyI,Trung Tâm Công Tác Xã Hội tỉnh Quảng Bình,"FH7X+PF4, Tiểu Khu 3",17.4642516,106.5986969,5,1,"local_government_office,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJ6YT7H76XODER2LU-nQ1YXkE,Công An Xã Quảng Tiên,"Q85C+XF6, Quảng Tiên",17.759931,106.3210567,,,"local_government_office,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJq6oaP-dWRzERTpeYD0m1Mso,Cảnh sát 113,"2 Tố Hữu, Nam Lý",17.4719843,106.6039981,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJnQkJMbanODERVI9rptRkAa4,Đại lý Phân phối Thức ăn Chăn nuôi,Nam trạch,17.6144627,106.5325871,3.7,7,"food,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJAQAAAM-YODERfp13ySGtTfM,Công An Thị Trấn Ba Đồn,Minh Phương,17.7545323,106.4317533,,,"local_government_office,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJf8x7IQChODERjEhNB2c_dbw,Công an xã Đông Trạch,"JGR9+HWQ, Ngoại Hòa",17.6414483,106.5198107,,,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJq6qqqotTRzERNjZszTxtmlk,Đội Quản Lý Thi Hành Án Dân Sự Huyện Quảng Ninh,"tt. Quán Hàu, Quảng Ninh",17.4049241,106.6320777,5,1,"point_of_interest,establishment"
