place_id,name,address,lat,lng,matched_keyword
ChIJv1wfCBWVODERaxulPleHaxg,Trung Tâm Giải Trí Hê Cao - BILLIARD - COFFEE - Vui Chơi Trẻ Em,"QL12A, Chợ Cuồi",17.7991569,106.2348179,Chòi cao
ChIJx-0nZXChODERW0HQgh2cnR4,Bãi đá nhảy,"MG57+MXP, Bãi Đá Nhảy",17.6592008,106.5149533,Chòi cao
ChIJvTbkCGNXRzERGRGH5TKO5zc,KHU ĐÔ THỊ ĐỒNG CHOI,"CHQJ+R9C, Xóm dân cư Đồng Choi",17.4395702,106.5808931,Chòi cao
ChIJ0eIdNctXRzER6RhGRVoAbQg,"FHMC+3MC Đồng Hới, Quảng Bình","FHMC+CM, Đồng Phú",17.4836355,106.5717346,Chòi cao
ChIJM3iOlEunODERWm7FxtZatfk,"Cơ Sở KD Gà Chọi, Gà Đá - Nhật Cuối",xóm Dài,17.5716721,106.5075368,Chòi cao
ChIJpwDleI-9ODERek71NDSeFnY,Quảng Cáo Hoài Hương,"Ngã 3 Chợ Troóc, Thôn 3",17.6458604,106.2766846,Chòi cao
ChIJ7VZ-YkO3ODERN98kaD5bmzY,Động Thiên Đường Paradise Cave,"Km 16 Đường Hồ Chí Minh, Nhánh Tây",17.5194514,106.2232849,tháp cao
ChIJIQaXAqFXRzERPcnBcZ6B_Hs,Tháp Đồng hồ,"2 Nguyễn Du, Đồng Hải",17.4738322,106.6235952,tháp cao
ChIJrUTfGgm5ODERN7UBVr-dFpU,Dark Cave,Sơn Trạch,17.5741854,106.251424,tháp cao
ChIJT8PoU_ZXRzERrf7-d95Ou-M,Tượng đài Mẹ Suốt,"2 Quách Xuân Kỳ, Đồng Hải",17.4654471,106.6270884,tháp cao
ChIJWzGRkYFYRzERFCnAbHJfNMc,Chợ Hoàn Lão,"QL1A, Trung Trạch",17.5815446,106.5372251,tháp cao
ChIJJwskpVi3ODERrZhqIrlnFPk,Suối Nước Mooc,Phúc Trạch,17.5566597,106.2381149,tháp cao
ChIJI-LkoRfIODERrkzpzgMF7pI,Hang Sơn Đoòng,Tân Trạch,17.4647924,106.2873939,tháp cao
ChIJOWUA1sKpQDER0tAzSgCYJYg,Hang Chà Lòi,Ngân Thuỷ,17.1969393,106.5998512,tháp cao
ChIJ2QUxSzK7ODERhPwG2XJj93A,HaVa Valley - Thung Lũng Ngọc Bich,"Đường Hồ Chí Minh Đông, nhánh Tây",17.5755034,106.2535282,tháp cao
ChIJ5wshAPRWRzER38fyXrgQ0eg,Tháp Nước,"FH7Q+64J, Triệu Quang Phục, Bắc Nghĩa",17.4630973,106.5877676,tháp cao
ChIJEegDkBW3ODERbP1V7p8BXA0,Paradise Cave Restaurant,"Km 16 Đường Hồ Chí Minh Nhánh Tây,, Sơn Trạch",17.5300209,106.2279271,tháp cao
