matched_keyword,center_lat,center_lng,radius,place_id,name,address,lat,lng,rating,user_ratings_total,types
cầu,17.473470,106.434295,40000,ChIJC0FK4_aWODERG1dE8JKsZ44,Cầu Văn Hóa,"Q7PM+2PF, Cầu Văn Hóa, Cảnh Hoá",17.785067,106.2842961,4.4,20,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJrf_2rLugODERgRdVRpj_f2E,Cầu Lý Hòa,"JGQ9+7RH, Làng, Lý Hòa",17.6381813,106.5196142,4.2,89,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJe_3zOF-YODERdeNHzrviq-M,Cầu Quảng Hải 1,"Q93R+MQ6, Quảng Phong",17.7541511,106.3918909,4.3,38,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJhcHMrBxXRzERMncPpyUGW4M,Cầu Dài,"FJ5G+CMC, Cầu Dài",17.4585648,106.6266556,4.4,43,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJQe5RobmhODERXwD02p4vxhw,Cầu Nam Gianh,"PC7V+53W, QL1, Hạ Trạch",17.713,106.442701,4.6,31,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJx-xFVWixQDERr-PEwdousWA,Cầu Kiến Giang,"Nguyễn Tất Thành, Liên Thuỷ",17.2197217,106.7913546,4.3,77,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJ_TlD-uKXODER0tM2R_RvxOE,Cầu Công Hòa,"Q85V+548, Quảng Trung",17.7579032,106.3428132,4.9,11,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJK_4aiCCxQDERVt99EK341Ns,Cầu Đường sắt Mỹ Trạch,"5QQW+9VX, Sông, Mỹ Thuỷ",17.1884956,106.7972247,4.5,33,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJ7bvuee6jODERON0R4oKQ1iQ,Cầu Ngân Sơn,"M9HV+MX2, Cầu đường sắt Sông Côn, Sông Côn,Quảng Bình, Liên Trạch",17.6791395,106.3949024,4.9,17,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJr57SA7ihODERGUIbOV_D5rw,Cầu Thanh Ba,"MFWG+988, Thanh Trạch",17.6959087,106.47584,4,135,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJd4ok2qBXRzERnAdUHhUuiw8,Cầu Lộc Đại,"47 Lý Thánh Tông, Lộc Ninh",17.4906944,106.5978834,4.5,12,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJNQcx6qOrQDERZIXGobHo53Y,Cầu Đường sắt Long Đại,"8JGF+4J8, Hiền Ninh",17.3252862,106.6240797,4.7,18,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJJaPADAijODER53XOS3B9JQI,Cầu Treo,"M99R+CR8, Unnamed Rd, Mũi Đông",17.668525,106.3920797,4.6,29,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJ88URtA6xQDERQ50sBIqTiPg,Cầu Phú Cường,"5PHP+3XR, Hồ Chí Minh, Phú Thuỷ",17.1777282,106.7374037,4.3,8,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJqz3LTvalODERdlx2oIVLvo0,Cầu Bùng,"J989+8PJ, QL16, Hưng Trạch",17.6158389,106.3692698,4.5,4,"point_of_interest,establishment"
cầu,17.473470,106.434295,40000,ChIJeVSr8keUODERhwFmGZdAOlk,Cầu Châu Hóa,"Q6XH+Q75, Châu Hoá",17.7993922,106.2282336,4.2,24,"point_of_interest,establishment"
