center_lat,center_lng,keyword,name,address,lat,lng,url
17.473470,106.434295,ban chỉ huy quân sự ở Quảng Bình,Bộ Chỉ Huy Quân Sự Tỉnh Quảng Trị,"Tổ Dân Phố 6, Phường Đồng Phú, Đồng Hới, Quảng Bình",17.4764404,106.6148452,"https://www.google.com/maps/place/B%E1%BB%99+Ch%E1%BB%89+Huy+Qu%C3%A2n+S%E1%BB%B1+T%E1%BB%89nh+Qu%E1%BA%A3ng+Tr%E1%BB%8B/@17.4764404,106.6148452,17z/data=!3m1!4b1!4m6!3m5!1s0x3147579953a87d3f:0x5666a4ec843adc3e!8m2!3d17.4764404!4d106.6148452!16s%2Fg%2F11js0gdfbc?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,ban chỉ huy quân sự ở Quảng Bình,Ban Chỉ Huy Quân Sự Lệ Thủy,"6QHQ+359, TT. Kiến Giang, Lệ Thủy, Quảng Bình",17.2276547,106.7879814,"https://www.google.com/maps/place/Ban+Ch%E1%BB%89+Huy+Qu%C3%A2n+S%E1%BB%B1+L%E1%BB%87+Th%E1%BB%A7y/@17.2276547,106.7879814,17z/data=!3m1!4b1!4m6!3m5!1s0x3140b1641c804e07:0xa361829c8d9475b8!8m2!3d17.2276547!4d106.7879814!16s%2Fg%2F11gdtn3t9h?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,ban chỉ huy quân sự ở Quảng Bình,Ban chỉ huy quân sự huyện Quảng Ninh,"CJ5P+GQ3, Quán Hàu - Lương Ninh, TT. Quán Hàu, Quảng Ninh, Quảng Bình",17.4083864,106.635771,"https://www.google.com/maps/place/Ban+ch%E1%BB%89+huy+qu%C3%A2n+s%E1%BB%B1+huy%E1%BB%87n+Qu%E1%BA%A3ng+Ninh/@17.4083864,106.635771,17z/data=!3m1!4b1!4m6!3m5!1s0x3147530057ffb959:0x5452d30df9e58e1b!8m2!3d17.4083864!4d106.635771!16s%2Fg%2F11y35n82g9?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,ban chỉ huy quân sự ở Quảng Bình,Ban Chỉ Huy Quân Sự Huyện Bố Trạch,"318 Đ. Hùng Vương, TT. Hoàn Lão, Bố Trạch, Quảng Bình",17.5860879,106.5339356,"https://www.google.com/maps/place/Ban+Ch%E1%BB%89+Huy+Qu%C3%A2n+S%E1%BB%B1+Huy%E1%BB%87n+B%E1%BB%91+Tr%E1%BA%A1ch/@17.5860879,106.5339356,17z/data=!3m1!4b1!4m6!3m5!1s0x3138a77d6f00bec1:0xfd47a4f2bb99efc3!8m2!3d17.5860879!4d106.5339356!16s%2Fg%2F11c57c_5s1?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,ban chỉ huy quân sự ở Quảng Bình,Ban chỉ huy quân sự thành phố Đồng Hới,"FJ57+H9W, Đức Ninh Đông, Đồng Hới, Quảng Bình",17.4589855,106.6134671,"https://www.google.com/maps/place/Ban+ch%E1%BB%89+huy+qu%C3%A2n+s%E1%BB%B1+th%C3%A0nh+ph%E1%BB%91+%C4%90%E1%BB%93ng+H%E1%BB%9Bi/@17.4589855,106.6134671,17z/data=!3m1!4b1!4m6!3m5!1s0x314757f4b26cbc27:0x1c0950756f2fe058!8m2!3d17.4589855!4d106.6134671!16s%2Fg%2F11r8zdzq2l?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,ban chỉ huy quân sự ở Quảng Bình,Ban Chỉ Huy Quân Sự xã Hoa Thuỷ,"7P74+RMX, Unnamed Road, Hoa Thuỷ, Lệ Thủy, Quảng Bình",17.2646216,106.7067466,"https://www.google.com/maps/place/Ban+Ch%E1%BB%89+Huy+Qu%C3%A2n+S%E1%BB%B1+x%C3%A3+Hoa+Thu%E1%BB%B7/@17.2646216,106.7067466,17z/data=!3m1!4b1!4m6!3m5!1s0x3140ad7dfebfacf1:0xcdeac8eda1439b18!8m2!3d17.2646216!4d106.7067466!16s%2Fg%2F11hhpn9rq2?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
