center_lat,center_lng,keyword,name,address,lat,lng,url
17.473470,106.434295,căn cứ quân sự ở Quảng Bình,Bộ Chỉ Huy Quân Sự Tỉnh Quảng Trị,"Tổ Dân Phố 6, Phường Đồng Phú, Đồng Hới, Quảng Bình",17.4764404,106.6148452,"https://www.google.com/maps/place/B%E1%BB%99+Ch%E1%BB%89+Huy+Qu%C3%A2n+S%E1%BB%B1+T%E1%BB%89nh+Qu%E1%BA%A3ng+Tr%E1%BB%8B/@17.4764404,106.6148452,17z/data=!3m1!4b1!4m6!3m5!1s0x3147579953a87d3f:0x5666a4ec843adc3e!8m2!3d17.4764404!4d106.6148452!16s%2Fg%2F11js0gdfbc?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D"
17.473470,106.434295,căn cứ quân sự ở Quảng Bình,Ban Chỉ Huy Quân Sự Lệ Thủy,"6QHQ+359, TT. Kiến Giang, Lệ Thủy, Quảng Bình",17.2276547,106.7879814,"https://www.google.com/maps/place/Ban+Ch%E1%BB%89+Huy+Qu%C3%A2n+S%E1%BB%B1+L%E1%BB%87+Th%E1%BB%A7y/@17.2276547,106.7879814,17z/data=!3m1!4b1!4m6!3m5!1s0x3140b1641c804e07:0xa361829c8d9475b8!8m2!3d17.2276547!4d106.7879814!16s%2Fg%2F11gdtn3t9h?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D"
17.473470,106.434295,căn cứ quân sự ở Quảng Bình,Khu quân sự,"WGMH+M79, Hòn La, Quảng Trạch, Quảng Bình",17.9341609,106.5282296,"https://www.google.com/maps/place/Khu+qu%C3%A2n+s%E1%BB%B1/@17.9341609,106.5282296,17z/data=!3m1!4b1!4m6!3m5!1s0x3138830047de0a59:0xe88e6c4391f3c657!8m2!3d17.9341609!4d106.5282296!16s%2Fg%2F11w3_czzrw?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D"
