center_lat,center_lng,keyword,name,address,lat,lng,url
17.473470,106.434295,Đồn biên phòng,Đồn Biên phòng Tân Hà,"P5J6+XG, Tân Hà, Tân Châu, Tây Ninh",11.7318368,106.1616541,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+ph%C3%B2ng+T%C3%A2n+H%C3%A0/@11.7318368,106.1616541,17z/data=!3m1!4b1!4m6!3m5!1s0x310ca3002f17085b:0x3ecf5531b394ff20!8m2!3d11.7318368!4d106.1616541!16s%2Fg%2F11wx33pq50?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn biên phòng xã Thạnh Trị,"VXHC+FR, Thạnh Trị, Tân Thạnh, Long An",10.8786384,105.9721222,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+bi%C3%AAn+ph%C3%B2ng+x%C3%A3+Th%E1%BA%A1nh+Tr%E1%BB%8B/@10.8786384,105.9721222,17z/data=!3m1!4b1!4m6!3m5!1s0x310ae3cab665b475:0x3505de74f16a901f!8m2!3d10.8786384!4d105.9721222!16s%2Fg%2F11q41ky106?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,ĐỒN BIÊN PHÒNG,"R8J5+G46, A Nông, Tây Giang, Quảng Nam",15.8312869,107.3077559,"https://www.google.com/maps/place/%C4%90%E1%BB%92N+BI%C3%8AN+PH%C3%92NG/@15.8312869,107.3077559,17z/data=!3m1!4b1!4m6!3m5!1s0x3141d5fa1f1e9efb:0xf141360c9aec4227!8m2!3d15.8312869!4d107.3077559!16s%2Fg%2F11kxd8wh33?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng Phước Chỉ,"X6Q8+9RJ, Phước Hưng, Trảng Bàng, Tây Ninh",10.9884664,106.2170293,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+Ph%C6%B0%E1%BB%9Bc+Ch%E1%BB%89/@10.9884664,106.2170293,17z/data=!3m1!4b1!4m6!3m5!1s0x310b2162cceca0fb:0xa890ad5360432d2c!8m2!3d10.9884664!4d106.2170293!16s%2Fg%2F11hbvbcl9z?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn biên phòng cửa khẩu quốc tế Vĩnh Xương,"W53C+RJ7, ĐT952, Vĩnh Xương, An Phú, An Giang",10.9045424,105.1715358,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+bi%C3%AAn+ph%C3%B2ng+c%E1%BB%ADa+kh%E1%BA%A9u+qu%E1%BB%91c+t%E1%BA%BF+V%C4%A9nh+X%C6%B0%C6%A1ng/@10.9045424,105.1715358,17z/data=!3m1!4b1!4m6!3m5!1s0x310a2dac699f493b:0x27af80feed097d49!8m2!3d10.9045424!4d105.1715358!16s%2Fg%2F11py352_m6?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng Tuyên Bình,"VV23+VHF, Tuyên Bình, Vĩnh Hưng, Long An",10.8521944,105.8539166,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+Tuy%C3%AAn+B%C3%ACnh/@10.8521944,105.8539166,17z/data=!3m1!4b1!4m6!3m5!1s0x310aff746dfd4f95:0x6f05d568225daee9!8m2!3d10.8521944!4d105.8539166!16s%2Fg%2F11n0bwhkyq?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng Bù Đốp,"3Q5J+QR, Hưng Phước, Bù Đốp, Bình Phước",12.059429,106.782111,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+B%C3%B9+%C4%90%E1%BB%91p/@12.059429,106.782111,17z/data=!3m1!4b1!4m6!3m5!1s0x31733b175dc7c829:0xb534d762a77cc29d!8m2!3d12.059429!4d106.782111!16s%2Fg%2F11svg3htpx?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên phòng Phước Lộc,"129 Lê Minh Công, Phửụứng Phửụực Loọ, La Gi, Bình Thuận",10.6504832,107.7648126,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+ph%C3%B2ng+Ph%C6%B0%E1%BB%9Bc+L%E1%BB%99c/@10.6504832,107.7648126,17z/data=!3m1!4b1!4m6!3m5!1s0x3175cf52dc5f64fb:0xa0c684b20540ed72!8m2!3d10.6504832!4d107.7648126!16s%2Fg%2F11zg6lp0m?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng,"GVFX+J3M, Đường tỉnh 788, Hoà Hiệp, Tân Biên, Tây Ninh",11.5240828,105.8976602,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng/@11.5240828,105.8976602,17z/data=!3m1!4b1!4m6!3m5!1s0x310b7bf299555555:0x749660cc170c61a1!8m2!3d11.5240828!4d105.8976602!16s%2Fg%2F11l_0tjrbr?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng Lăng Cô,"63JP+4V4, TT. Lăng Cô, Phú Lộc, Thành phố Huế",16.2302652,108.0872036,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+L%C4%83ng+C%C3%B4/@16.2302652,108.0872036,17z/data=!3m1!4b1!4m6!3m5!1s0x31422723a4a1019b:0x73012c84153f111b!8m2!3d16.2302652!4d108.0872036!16s%2Fg%2F11g9dfmhmd?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn 3 Biên phòng Đắk Đam,"JH4P+7WM, Đắk Lao, Đắk Mil, Đắk Nông",12.6057153,107.5873012,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+3+Bi%C3%AAn+ph%C3%B2ng+%C4%90%E1%BA%AFk+%C4%90am/@12.6057153,107.5873012,17z/data=!3m1!4b1!4m6!3m5!1s0x31726b2ad952d8ad:0x60457680a2c5546e!8m2!3d12.6057153!4d107.5873012!16s%2Fg%2F11r_mj5drm?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên phòng Cửa khẩu Tà Vát,"PC8P+R9J, Lộc Thịnh, Lộc Ninh, Bình Phước",11.7170839,106.4358825,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+ph%C3%B2ng+C%E1%BB%ADa+kh%E1%BA%A9u+T%C3%A0+V%C3%A1t/@11.7170839,106.4358825,17z/data=!3m1!4b1!4m6!3m5!1s0x310cae83c1eb9947:0xce92ea602d473bb6!8m2!3d11.7170839!4d106.4358825!16s%2Fg%2F11f2vb8zqj?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng Cha Lo,"QQ39+R6, Dân Hoá, Minh Hóa, Quảng Bình",17.7545955,105.7680882,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+Cha+Lo/@17.7545955,105.7680882,17z/data=!3m1!4b1!4m6!3m5!1s0x313921b1595f57ed:0x288a3e5e3a94bc38!8m2!3d17.7545955!4d105.7680882!16s%2Fg%2F11v3h9k4dx?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng 288,"8V28+4R2, Thôn, An Cường, Bình Sơn, Quảng Ngãi",15.3002653,108.8670187,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+288/@15.3002653,108.8670187,17z/data=!3m1!4b1!4m6!3m5!1s0x31684b9c51a8d685:0xc7ad57cb8c473d04!8m2!3d15.3002653!4d108.8670187!16s%2Fg%2F11fhr75b2l?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên phòng Sông Trăng,"XJ8F+W2, Hưng Hà, Tân Hưng, Long An",10.967339,105.62257,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+ph%C3%B2ng+S%C3%B4ng+Tr%C4%83ng/@10.967339,105.62257,17z/data=!3m1!4b1!4m6!3m5!1s0x310badcc1500b77b:0xead204deb9fe7bd!8m2!3d10.967339!4d105.62257!16s%2Fg%2F11t9v7ptgr?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng Mỏ Vẹt,"Q5QR+Q84, Bình Hoà Hưng, Đức Huệ, Long An",10.7893994,106.1908315,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+M%E1%BB%8F+V%E1%BA%B9t/@10.7893994,106.1908315,17z/data=!3m1!4b1!4m6!3m5!1s0x310add173e5eeefb:0x5e206ea3596eb7e6!8m2!3d10.7893994!4d106.1908315!16s%2Fg%2F11fj_05cv0?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn biên phòng Cần Thạnh,"CX87+G9, TT. Cần Thạnh, Cần Giờ, Thành phố Hồ Chí Minh",10.4163311,106.9635016,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+bi%C3%AAn+ph%C3%B2ng+C%E1%BA%A7n+Th%E1%BA%A1nh/@10.4163311,106.9635016,17z/data=!3m1!4b1!4m6!3m5!1s0x317569b1e0153ef9:0xcf86921516eb964!8m2!3d10.4163311!4d106.9635016!16s%2Fg%2F11kr93nv8v?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn biên phòng Cửa Sót,"FW93+25, Thạch Bằng, Lộc Hà, Hà Tĩnh",18.4678906,105.9024379,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+bi%C3%AAn+ph%C3%B2ng+C%E1%BB%ADa+S%C3%B3t/@18.4678906,105.9024379,17z/data=!3m1!4b1!4m6!3m5!1s0x313849f0c8e0bfbb:0x7bbd3301c3c57cd9!8m2!3d18.4678906!4d105.9024379!16s%2Fg%2F11ryk0zrlx?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng 484- Bình Châu,"Bình Châu, Xuyên Mộc, Bà Rịa - Vũng Tàu",10.5601637,107.5441327,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+484-+B%C3%ACnh+Ch%C3%A2u/@10.5601637,107.5441327,17z/data=!3m1!4b1!4m6!3m5!1s0x3175bc6e371d4eef:0x8621e0234560174c!8m2!3d10.5601637!4d107.5441327!16s%2Fg%2F1tg4hwnp?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng Phước Hải,"C74G+4HF, Khu phố Hải Sơn, Đất Đỏ, Bà Rịa - Vũng Tàu",10.4053044,107.2764355,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+Ph%C6%B0%E1%BB%9Bc+H%E1%BA%A3i/@10.4053044,107.2764355,17z/data=!3m1!4b1!4m6!3m5!1s0x317577362fe16fc1:0xf357bbcfe632fbfc!8m2!3d10.4053044!4d107.2764355!16s%2Fg%2F11sy6smk93?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên phòng Bo Heng 747,"WG63+7R8, QL14C, Krông Na, Buôn Đôn, Đắk Lắk",12.910671,107.504591,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+ph%C3%B2ng+Bo+Heng+747/@12.910671,107.504591,17z/data=!3m1!4b1!4m6!3m5!1s0x317277838126f5c3:0x443e7f3693e01830!8m2!3d12.910671!4d107.504591!16s%2Fg%2F11qp_wm1x1?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên phòng Mũi Né,"57 Nguyễn Minh Châu, Mũi Né, Thành phố Phan Thiết, Bình Thuận",10.9295042,108.2859978,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+ph%C3%B2ng+M%C5%A9i+N%C3%A9/@10.9295042,108.2859978,17z/data=!3m1!4b1!4m6!3m5!1s0x31768f9ca624d05d:0x269347201311a0c!8m2!3d10.9295042!4d108.2859978!16s%2Fg%2F11nxt589lc?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng Chí Linh 518,"414 Nguyễn Hữu Cảnh, Phường 10, Vũng Tàu, Bà Rịa - Vũng Tàu",10.3694767,107.1185203,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+Ch%C3%AD+Linh+518/@10.3694767,107.1185203,17z/data=!3m1!4b1!4m6!3m5!1s0x317571c978310213:0x74059c50b3341f9e!8m2!3d10.3694767!4d107.1185203!16s%2Fg%2F11rfsymkv3?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên phòng Ba Tầng,"FQMC+J89, thôn P Lu, Hướng Hóa, Quảng Trị",16.4840393,106.7708599,"https://www.google.com/maps/place/%C4%90%C3%B4%CC%80n+Bi%C3%AAn+pho%CC%80ng+Ba+T%C3%A2%CC%80ng/@16.4840393,106.7708599,17z/data=!3m1!4b1!4m6!3m5!1s0x3140650d0721dc95:0xcf83cf0f4bd57a8e!8m2!3d16.4840393!4d106.7708599!16s%2Fg%2F11t9tn_dv7?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn biên phòng Bến Phố,"2P9X+JC, Hưng Điền A, Vĩnh Hưng, Long An",11.0202562,105.7488206,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+bi%C3%AAn+ph%C3%B2ng+B%E1%BA%BFn+Ph%E1%BB%91/@11.0202562,105.7488206,17z/data=!3m1!4b1!4m6!3m5!1s0x310ba900338d5ca1:0x3e674bdd0f10d2fc!8m2!3d11.0202562!4d105.7488206!16s%2Fg%2F11w951091q?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
