time,status,id,message,name,address,lat,lng,tags
2025-12-24 10:33:05,OK,694b5ef29e268fedeabacaa2,Uploaded,Pynt Hotel Âu Cơ,"781–783 Âu Cơ, Phường Tân Phú, TP.HCM",10.7934882,106.6388832,aegona
2025-12-24 10:33:06,OK,694b5ef39e268fedeabacaa3,Uploaded,Pynt Hotel Vạn Kiếp,"159 Vạn Kiếp, Phường Gia Định, TP.HCM",10.799256,106.6936407,aegona
2025-12-24 10:33:07,OK,694b5ef49e268fedeabacaa4,Uploaded,GALAXY HOTEL ĐƯỜNG SỐ 7,"31 Đường Số 7, P. Gò Vấp, TP. HCM",10.8464137,106.6765108,aegona
2025-12-24 10:33:08,OK,694b5ef79e268fedeabacaa5,Uploaded,Pynt Hotel Nguyễn Thái Bình,"369/2 Nguyễn Thái Bình, Phường Bảy Hiền, TP.HCM",10.7958814,106.6513849,aegona
