time,status,id,message,name,address,lat,lng,tags
2025-12-15 10:24:42,OK,693f7f7b9e268fedeabaca9b,Uploaded,Galaxy Hotel 2,"31 Đường số 7, Phường Gò Vấp, Thành phố Hồ Chí Minh, Việt Namp",10.8464137,106.6765108,aegona
2025-12-15 10:24:43,OK,693f7f7c9e268fedeabaca9c,Uploaded,GALAXY 1,"1327 Lê Đức Thọ, Phường An Hội Đông, Thành phố Hồ Chí Minh, Việt Nam",10.8592476,106.6511956,aegona
2025-12-15 10:24:44,OK,693f7f7d9e268fedeabaca9d,Uploaded,KYNP HOTEL 1,"17 Đường Số 5, Phường Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",10.8445382,106.6745576,aegona
2025-12-15 10:24:45,OK,693f7f7e9e268fedeabaca9e,Uploaded,PYNT HOTEL 6,"369/2 Nguyễn Thái Bình, Phường Bảy Hiền, Thành phố Hồ Chí Minh, Việt Nam",10.7958814,106.6513849,aegona
2025-12-15 10:24:46,OK,693f7f7f9e268fedeabaca9f,Uploaded,PYNT HOTEL 4,"159 Vạn Kiếp, Phường Gia Định, Thành phố Hồ Chí Minh, Việt Nam",10.799256,106.6936407,aegona
2025-12-15 10:24:47,OK,693f7f809e268fedeabacaa0,Uploaded,PYNT HOTEL 2,"274 Thống Nhất, Phường An Hội Đông, Thành phố Hồ Chí Minh, Việt Nam",10.8394335,106.6653532,aegona
2025-12-15 10:24:48,OK,693f7f809e268fedeabacaa1,Uploaded,PYNT HOTEL 1,"1/17 Nguyễn Văn Dung, Phường An Nhơn, Thành phố Hồ Chí Minh",10.8489677,106.679095,aegona
