tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Quảng Trị,Lao Bảo,xã,19,595,23459,83.04,UBND thị trấn Lao Bảo (cũ),"Xã Tân Thành (huyện Hướng Hóa), Xã Tân Long, Thị trấn Lao Bảo",106.633,16.6362
tỉnh Quảng Trị,Lệ Ninh,xã,19,634,23449,56.32,Thị trấn Nông trường Lệ Ninh (cũ),"Thị trấn Nông trường Lệ Ninh, Xã Sơn Thủy, Xã Hoa Thủy",106.698,17.237
tỉnh Quảng Trị,Lệ Thủy,xã,19,635,49460,55.93,đang cập nhật,"Thị trấn Kiến Giang, Xã Liên Thủy, Xã Xuân Thủy, Xã An Thủy, Xã Phong Thủy, Xã Lộc Thủy",106.77,17.2319
tỉnh Quảng Trị,Lìa,xã,19,597,14375,71.69,UBND xã Thanh (cũ),"Xã Thanh, Xã Thuận, Xã Lìa",106.698,16.4759
tỉnh Quảng Trị,Minh Hóa,xã,19,603,21481,156.97,đang cập nhật,"Thị trấn Quy Đạt, Xã Xuân Hóa, Xã Yên Hóa, Xã Hồng Hóa",105.95,17.8486
tỉnh Quảng Trị,Mỹ Thủy,xã,19,584,17171,43.82,đang cập nhật,"Xã Hải Dương, Xã Hải An, Xã Hải Khê",107.341,16.7278
tỉnh Quảng Trị,Nam Ba Đồn,xã,19,621,27643,76.3,UBND xã Quảng Trung (cũ),"Xã Quảng Tân, Xã Quảng Trung, Xã Quảng Tiên, Xã Quảng Sơn, Xã Quảng Thủy",106.313,17.727
tỉnh Quảng Trị,Nam Cửa Việt,xã,19,588,26619,74.12,UBND xã Triệu Trạch (cũ),"Xã Triệu Trạch, Xã Triệu Phước, Xã Triệu Tân",107.206,16.8527
tỉnh Quảng Trị,Nam Đông Hà,phường,19,573,61204,35.04,Trụ sở phân hiệu Đại học Huế (đường Lý Thường Kiệt) và Trung tâm văn hóa phường 5 (cũ),"Phường 2 (thành phố Đông Hà), Phường 5, Phường Đông Lễ, Phường Đông Lương",107.106,16.8001
tỉnh Quảng Trị,Nam Gianh,xã,19,622,36527,34.43,UBND xã Quảng Minh (cũ),"Xã Quảng Hòa, Xã Quảng Lộc, Xã Quảng Văn, Xã Quảng Minh",106.372,17.6923
tỉnh Quảng Trị,Nam Hải Lăng,xã,19,581,25536,114.84,UBND xã Hải Sơn (cũ),"Xã Hải Sơn, Xã Hải Phong, Xã Hải Chánh",107.264,16.6177
tỉnh Quảng Trị,Nam Trạch,xã,19,624,32594,129.83,UBND xã Lý Nam (cũ),"Thị trấn Nông trường Việt Trung, Xã Nhân Trạch, Xã Lý Nam",106.508,17.4925
tỉnh Quảng Trị,Ninh Châu,xã,19,632,30098,86.03,UBND xã Gia Ninh (cũ),"Xã Tân Ninh, Xã Gia Ninh, Xã Duy Ninh, Xã Hải Ninh",106.713,17.3446
tỉnh Quảng Trị,Phong Nha,xã,19,629,39254,358.1,UBND xã Phúc Trạch (cũ),"Thị trấn Phong Nha, Xã Lâm Trạch, Xã Xuân Trạch, Xã Phúc Trạch",106.284,17.6186
tỉnh Quảng Trị,Phú Trạch,xã,19,616,30850,197.41,UBND xã Quảng Phú (cũ),"Xã Quảng Đông, Xã Quảng Phú, Xã Quảng Kim, Xã Quảng Hợp",106.396,17.9471
tỉnh Quảng Trị,Quảng Ninh,xã,19,630,36210,100.27,UBND huyện Quảng Ninh (cũ),"Thị trấn Quán Hàu, Xã Vĩnh Ninh, Xã Võ Ninh, Xã Hàm Ninh",106.615,17.3867
tỉnh Quảng Trị,Quảng Trạch,xã,19,619,31422,56.64,UBND huyện Quảng Trạch (cũ),"Xã Quảng Phương, Xã Quảng Xuân, Xã Quảng Hưng",106.396,17.7878
tỉnh Quảng Trị,Quảng Trị,phường,19,590,29705,72.82,UBND thị xã Quảng Trị (cũ),"Phường 1, Phường 2, Phường 3 (thị xã Quảng Trị), Phường An Đôn, Xã Hải Lệ",107.145,16.6781
tỉnh Quảng Trị,Sen Ngư,xã,19,640,21158,120.84,UBND xã Hưng Thủy (cũ),"Xã Hưng Thủy, Xã Sen Thủy, Xã Ngư Thủy",106.916,17.1708
