tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Ninh BÌnh,Khánh Thiện,xã,6,755,25693,24.51,Trụ sở xã Khánh Thiện hiện nay,"Xã Khánh Cường, Xã Khánh Lợi, Xã Khánh Thiện",106.09,20.2268
tỉnh Ninh BÌnh,Khánh Trung,xã,6,834,26453,26.42,Trụ sở xã Khánh Thành hiện nay,"Xã Khánh Thành, Xã Khánh Công, Xã Khánh Trung",106.144,20.1823
tỉnh Ninh BÌnh,Kim Bảng,phường,6,2840,23232,15.22,Trụ sở Thị ủy - HĐND - UBND thị xã Kim Bảng hiện nay,"Phường Quế, Phường Ngọc Sơn, Xã Văn Xá",105.9,20.5916
tỉnh Ninh BÌnh,Kim Đông,xã,6,773,9409,81.82,"Trụ sở Đảng ủy, MTTQ, các tổ chức CT-XH tại xã Kim Trung; Trụ sở HĐND, UBND tại xã Kim Đông","Xã Kim Trung, Xã Kim Đông, Khu vực bãi bồi ven biển (do huyện Kim Sơn quản lý)",106.069,19.9483
tỉnh Ninh BÌnh,Kim Sơn,xã,6,825,29382,29.4,"Trụ sở Đảng ủy, MTTQ, các tổ chức CT-XH tại xã Hùng Tiến; Trụ sở HĐND, UBND tại xã Ân Hòa","Xã Kim Định, Xã Ân Hòa, Xã Hùng Tiến",106.121,20.1074
tỉnh Ninh BÌnh,Kim Thanh,phường,6,2811,đang cập nhật,13.715,Trụ sở phường Tân Tựu hiện nay,"Phường Tân Tựu, Xã Hoàng Tây",105.901,20.616
tỉnh Ninh BÌnh,Lai Thành,xã,6,864,28718,22.07,"Trụ sở Đảng ủy, MTTQ, các tổ chức CT-XH tại xã Tân Thành; Trụ sở HĐND, UBND tại xã Lai Thành","Xã Yên Lộc (huyện Kim Sơn), Xã Tân Thành, Xã Lai Thành",106.057,20.0836
tỉnh Ninh BÌnh,Lê Hồ,phường,6,2807,đang cập nhật,22.3964,Trụ sở của phường Lê Hồ hiện nay,"Phường Đại Cương, Phường Đồng Hoá, Phường Lê Hồ",105.854,20.6281
tỉnh Ninh BÌnh,Liêm Hà,xã,6,2839,27732,20.95,Trụ sở xã Liêm Cần hiện nay,"Xã Liêm Phong, Xã Liêm Cần, Xã Thanh Hà",105.952,20.5039
tỉnh Ninh BÌnh,Liêm Tuyền,phường,6,2846,27781,21.44,Trụ sở phường Tân Liêm hiện nay,"Phường Tân Liêm, Xã Đinh Xá, Xã Trịnh Xá",105.97,20.5366
