tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Quảng Ngãi,Măng Đen,xã,22,1744,9438,396.93, Thị trấn Măng Đen (cũ),"Thị trấn Măng Đen, Xã Măng Cành, Xã Đăk Tăng",108.278,14.6806
tỉnh Quảng Ngãi,Măng Ri,xã,22,3176,869,401.18,Xã Tê Xăng,"Xã Ngọk Yêu, Xã Văn Xuôi, Xã Tê Xăng, Xã Ngọk Lây, Xã Măng Ri",108.027,14.9176
tỉnh Quảng Ngãi,Minh Long,xã,22,1785,10085,124.74,Văn phòng HĐND và UBND huyện Minh Long (cũ),"Xã Long Hiệp, Xã Thanh An, Xã Long Môn",108.655,14.9331
tỉnh Quảng Ngãi,Mỏ Cày,xã,22,1778,đang cập nhật,44.8446,UBND xã Đức Thạnh,"Xã Đức Chánh, Xã Đức Thạnh, Xã Đức Minh",108.9,14.993
tỉnh Quảng Ngãi,Mộ Đức,xã,22,1786,35895,76.17,Huyện ủy Mộ Đức (cũ),"Thị trấn Mộ Đức, Xã Đức Hòa, Xã Đức Phú, Xã Đức Tân",108.847,14.9378
tỉnh Quảng Ngãi,Mô Rai,xã,22,487,6375,583.92,Xã Mô Rai,Không sáp nhập,107.589,14.3581
tỉnh Quảng Ngãi,Nghĩa Giang,xã,22,1759,39371,47.74,UBND xã Nghĩa Kỳ,"Xã Nghĩa Thuận, Xã Nghĩa Kỳ, Xã Nghĩa Điền",108.74,15.1095
tỉnh Quảng Ngãi,Nghĩa Hành,xã,22,1781,31533,24.4,UBND huyện Nghĩa Hành,"Thị trấn Chợ Chùa, Xã Hành Thuận, Xã Hành Trung",108.786,15.0599
tỉnh Quảng Ngãi,Nghĩa Lộ,phường,22,1808,73556,17.07,UBND phường Nghĩa Lộ,"Phường Lê Hồng Phong, Phường Trần Phú, Phường Quảng Phú, Phường Nghĩa Lộ",108.785,15.1186
tỉnh Quảng Ngãi,Ngọc Linh,xã,22,560,6458,180.35,Xã Ngọc Linh,"Xã Mường Hoong, Xã Ngọc Linh",107.936,15.1086
tỉnh Quảng Ngãi,Ngọk Bay,xã,22,555,23391,62.09,Xã Ngọk Bay,"Xã Kroong, Xã Vinh Quang, Xã Ngọk Bay",107.915,14.3907
tỉnh Quảng Ngãi,Ngọk Réo,xã,22,1750,11916,170.29,đang cập nhật,"Xã Ngọk Wang, Xã Ngọk Réo",108.038,14.4954
tỉnh Quảng Ngãi,Ngọk Tụ,xã,22,449,846,160.97,Xã Ngọk Tụ,"Xã Đăk Rơ Nga, Xã Ngọk Tụ",107.768,14.7529
tỉnh Quảng Ngãi,Nguyễn Nghiêm,xã,22,1789,18041,95.33,UBND xã Phổ Nhơn,"Xã Phổ Nhơn, Xã Phổ Phong",108.871,14.8412
tỉnh Quảng Ngãi,Phước Giang,xã,22,1761,23842,57.02,UBND xã Hành Dũng,"Xã Hành Dũng, Xã Hành Nhân, Xã Hành Minh",108.737,15.043
tỉnh Quảng Ngãi,Rờ Kơi,xã,22,473,6395,298.29,Xã Rờ Kơi,Không sáp nhập,107.728,14.5204
tỉnh Quảng Ngãi,Sa Bình,xã,22,489,16711,140.32,đang cập nhật,"Xã Sa Nghĩa, Xã Hơ Moong, Xã Sa Bình",107.842,14.4411
