name,address,lat,lng,field_5,field_6
Cửa hàng Xăng dầu Petrolimex Số 45,"QCJX+264, Thuận Hoà, Cầu Ngang, Trà Vinh",9.7800088,106.44809,,
Cửa hàng Xăng dầu Petrolimex Số 12,"XX3V+HVW, QL54, Vĩnh Xuân, Trà Ôn, Vĩnh Long",9.9539916,105.9947044,,
Cửa hàng Xăng dầu Petrolimex Số 08,"2644+PC2, QL53, TT. Càng Long, Càng Long, Trà Vinh",10.0067667,106.2060158,,
Cửa hàng Xăng dầu Petrolimex Số 58,"R633+659, TT. Tiểu Cần, Tiểu Cần, Trà Vinh",9.8030439,106.2029814,,
Cửa hàng Xăng dầu Petrolimex Số 19,"2828+86Q, Đường vào đập Láng Thé, Long Đức, Càng Long, Trà Vinh",10.0008273,106.315624,,
Cửa hàng Xăng dầu Petrolimex Số 04,"Nguyệt Lãng, Bình Phú, Càng Long, Trà Vinh",9.9592941,106.2432449,,
Cửa hàng xăng dầu Nam Phúc - Châu Thành,"QL53, Phước Hảo, Châu Thành, Trà Vinh",9.8640529,106.4035588,,
Cửa hàng Xăng dầu Petrolimex Số 44,"Khóm 1, Thị Trấn Duyên Hải, Huyện Duyên Hải, Long Toàn, Thị xã Duyên Hải, Trà Vinh",9.6386802,106.502699,,
Cửa hàng Xăng dầu Petrolimex Số 59,"22PX+78V, ĐT901, Hoà Bình, Trà Ôn, Vĩnh Long",10.0357382,106.048306,,
Cửa hàng Xăng dầu Petrolimex Số 39,"MHFF+FVQ, ĐT913, Trường Long Hoà, Thị xã Duyên Hải, Trà Vinh",9.6737231,106.5747285,,
Công Ty Xăng Dầu Trà Vinh,"24 Nguyễn Thị Minh Khai, Phường 2, Trà Vinh",9.9365332,106.3369363,,
Cửa hàng Xăng dầu Petrolimex Số 56,"XW7C+753, Trà Ôn, Vĩnh Long",9.9631474,105.9204215,,
Cửa hàng Xăng dầu Petrolimex Số 51,"QL53, Trung Nghĩa, Vũng Liêm, Vĩnh Long",10.0328784,106.2038841,,
