name,address,lat,lng,,,,,
Cửa hàng Xăng dầu Petrolimex Số 40,"38X2+V5C, QL60, An Thạnh, Mỏ Cày Nam, Bến Tre",10.0996982,106.3003901,,,,,
CÂY XĂNG PETROLIMEX-CỬA HÀNG 07,"464 Nguyễn Huệ, P. Phú Khương, Bến Tre",10.2551418,106.3819951,,,,,
Cửa hàng Xăng dầu Petrolimex Số 29,"5G44+22C, TT. Giồng Trôm, Giồng Trôm, Bến Tre",10.1550587,106.5050107,,,,,
Cửa hàng Xăng dầu Petrolimex Số 41,"37CP+58M, QL60, Thanh Thoi B, Mỏ Cày Nam, Bến Tre",10.0712534,106.2849315,,,,,
Cửa hàng Xăng dầu Petrolimex Số 53,"56JP+2FH, QL57, Hưng Khánh Trung, Chợ Lách, Bến Tre",10.1800526,106.2362218,,,,,
Cửa hàng Xăng dầu Petrolimex Số 64,"2J5C+R4G, ĐT885, Tân Thuỷ, Ba Tri, Bến Tre",10.00957,106.6203341,,,,,
Cửa hàng Xăng dầu Petrolimex Số 23,"5MVW+3WV, Đ. Đồng Khởi, TT. Bình Đại, Bình Đại, Bến Tre",10.1927409,106.6973087,,,,,
Cửa Hàng Xăng Dầu Long Định,"7FG5+2X4, ĐT883, Long Định, Bình Đại, Bến Tre",10.2750014,106.4599657,,,,,
Cửa hàng Xăng dầu Petrolimex Số 66,"3JFF+GCX, ĐH14, Phú Ngãi, Ba Tri, Bến Tre",10.0738749,106.6236046,,,,,
PVOIL CỬA HÀNG BÁN LẺ XĂNG DẦU SỐ 39,"Tân Xuân, Ba Tri, Bến Tre",10.1207267,106.628962,,,,,
Kho xăng dầu Petrolimex Bến Tre,"199B Nguyễn Đình Chiểu, khu phố 1, Bến Tre",10.2363295,106.3925216,,,,,
Cửa hàng Xăng dầu Petrolimex Số 35,"58QJ+HM5 Chợ Xếp, QL60, Tân Thành Bình, Mỏ Cày Bắc, Bến Tre",10.1888851,106.3317243,,,,,
PETROLIMEX - CỬA HÀNG 54,"QL57, Hưng Khánh Trung A, Mỏ Cày Bắc, Bến Tre",10.1748399,106.2621496,,,,,
Cửa hàng Xăng dầu Đại Lợi,"QL60, Sơn Đông, Bến Tre",10.2555954,106.3591951,,,,,
Cửa hàng Xăng dầu Petrolimex Số 36,"48HJ+PQX, QL60, TT. Mỏ Cày, Mỏ Cày Nam, Bến Tre",10.1293526,106.3319931,,,,,
Cửa hàng Xăng dầu Petrolimex Số 34,"2HPR+WHX, Võ Trường Toản, TT. Ba Tri, Ba Tri, Bến Tre",10.0373559,106.5914895,,,,,
Công ty TNHH MTV Xăng dầu Bến Tre,"199B Nguyễn Đình Chiểu, Phường 8, Bến Tre",10.2372737,106.3917345,,,,,
PVOIL PETROMEKONG CHXD SỐ 38,"QL60, An Khánh, Châu Thành, Bến Tre",10.3099156,106.3488337,,,,,
Cửa hàng xăng dầu Ngã Năm,"149 Đ. Nguyễn Văn Tư, Phường 5, Bến Tre",10.2366347,106.3680752,,,,,
Cửa Hàng Xăng Dầu Giồng Trôm Số 1,"892 ĐT885, Bình Thành, Giồng Trôm, Bến Tre",10.1347834,106.5046769,,,,,
Dntn Linh Tâm - Đại Lý Xăng Dầu - Sài Gòn Petrolimex,"7CW6+XXX, ĐT883, Giao Long, Châu Thành, Bến Tre",10.2974942,106.4124923,,,,,
Cửa hàng Xăng dầu Tám Năng,"6HCJ+HGM, ĐT883, Lộc Thuận, Bình Đại, Bến Tre",10.2214535,106.581286,,,,,
Petrolimex - Cửa hàng 14,"79C3+PV3, HL173 Mới, Sơn Đông, Bến Tre",10.2719237,106.3547899,,,,,
Cửa hàng Xăng dầu Petrolimex Số 48,"tt. Thạnh Phú, Thạnh Phú, Bến Tre",9.9467972,106.5168545,,,,,
Trạm xăng dầu Phi Long,"889X+G53, QL60, An Khánh, Châu Thành, Bến Tre",10.3187616,106.3479109,,,,,
Cửa hàng Xăng dầu Petrolimex Số 07,"86GX+76W, ĐT864, Kim Sơn, Châu Thành, Tiền Giang",10.3262883,106.2484243,,,,,
Cửa Hàng Xăng Dầu Tân Thành - Petrolimex,"tt. Mỏ Cày, Mỏ Cày Nam, Bến Tre",10.126343,106.3318419,,,,,
Petrolimex - Cửa hàng 57,"2HWM+XC2, ĐT885, An Bình Tây, Ba Tri, Bến Tre",10.0473413,106.5837372,,,,,
