name,address,lat,lng
Cửa hàng Xăng dầu Petrolimex Số 44,"3X5Q+FWF, ĐT904, Mỹ Thạnh Trung, Tam Bình, Vĩnh Long",10.0586789,105.989806
Cửa hàng Xăng dầu Petrolimex Số 26,"43HP+W3G, Tân An Hội, Mang Thít, Vĩnh Long",10.1297847,106.0852591
"""Petrolimex Vĩnh long"" CỬA HÀNG 28","Tổ 05 ấp Thân Bình, Bình Phước, Mang Thít, Vĩnh Long 85000",10.1670451,106.0438336
Cửa hàng Xăng dầu Petrolimex Số 20,"52W8+428, ĐT909, Hoà Tịnh, Mang Thít, Vĩnh Long",10.1952857,106.0150824
Cửa hàng Xăng dầu Petrolimex Số 55,"35JR+4JF, QL53, Trung Thành, Vũng Liêm, Vĩnh Long",10.0803088,106.1915379
Cửa hàng Xăng dầu Petrolimex Số 49,"35JF+8X4, Trung Hiếu, Vũng Liêm, Vĩnh Long",10.0807746,106.1749578
Cửa hàng Xăng dầu Petrolimex Số 69,"XVVM+M2J, Đông Thành, Bình Minh, Vĩnh Long",9.994208,105.8825205
Cửa hàng Xăng dầu Petrolimex Số 59,"22PX+78V, ĐT901, Hoà Bình, Trà Ôn, Vĩnh Long",10.0357382,106.048306
Cửa hàng Xăng dầu Petrolimex Số 51,"QL53, Trung Nghĩa, Vũng Liêm, Vĩnh Long",10.0328784,106.2038841
Cửa hàng Xăng dầu Petrolimex Số 53,"465J+7CQ, Thanh Bình, Vũng Liêm, Vĩnh Long",10.1081906,106.2310463
Cây xăng Phú Vĩnh Long - Petrolimex,"117 QL1A, Tân Ngãi, Vĩnh Long",10.299406,105.9204648
Cửa hàng Xăng dầu Petrolimex Số 46,"3VXJ+V7C, QL1A, Tân Phú, Tam Bình, Vĩnh Long",10.0996838,105.8806495
Cửa hàng Xăng dầu Petrolimex Số 47,"24J5+FXQ, Hiếu Nhơn, Vũng Liêm, Vĩnh Long",10.0312194,106.1099951
Cửa hàng Xăng dầu Petrolimex Số 61,"522G+F6R, Long An, Long Hồ, Vĩnh Long",10.1512469,106.025531
Cửa hàng Xăng dầu Petrolimex Số 58,"3R6G+2JP, QL54, Đông Thuận, Bình Minh, Vĩnh Long",10.0600789,105.8265721
Cửa hàng Xăng dầu Petrolimex Số 73,"259 QL1A, Phú Thịnh, Tam Bình, Vĩnh Long",10.1395454,105.9188013
